Post_Id	post_story
962728217101777_984656218242310	Mark Zuckerberg How to make Facebook Better.
1: Put your all friends in Acquaintances List.
2: Unfollow everyone, Follow only few that you like.
962728217101777_983082461733019	Hasibullah Sahibzada shared Public Art Lab's video.
962728217101777_981052198602712	Get 25GB free space with your university or school email address.
Zohra Zekeria Ramin Ahadi Mohib Amin Rafiullah Rafi Mohammad Rafi Mursal Dawodi Baktash
962728217101777_980361218671810	Hasibullah Sahibzada updated his cover photo.
962728217101777_980003978707534	Hasibullah Sahibzada shared ‎افغانهای مقیم در ناروی و سویدن‎'s video.
962728217101777_979916922049573	Hasibullah Sahibzada shared a link.
962728217101777_978395918868340	اشرف غنی و عبدالله عبدالله را نمی فهمم که به کدام نام حیوان یاد کنم. هیچ حیوان به این دو خایین ها تشبح شده نمیتواند.
962728217101777_977922582249007	Hasibullah Sahibzada shared Al Jazeera English's video.
962728217101777_977062575668341	Hasibullah Sahibzada shared Public Art Lab's video.
962728217101777_976526849055247	Hasibullah Sahibzada shared VICE's video.
962728217101777_976099789097953	Hasibullah Sahibzada shared ZDF heuteplus's video.
962728217101777_975651299142802	null
962728217101777_971333656241233	Hasibullah Sahibzada shared CBN News's video.
962728217101777_971319996242599	من اینجا ریشه در خاکم
من اینجا عاشق این خاک اگر آلوده یا پاکم
من اینجا تا نفس باقیست می مانم
من از اینجا چه می خواهم، نمی دانم
امید روشنائی گر چه در این تیره گیها نیست
من اینجا باز در این دشت خشک تشنه می رانم
من اینجا روزی آخر از دل این خاک با دست تهی گل بر می افشانم
من اینجا روزی آخر از ستیغ کوه چون خورشید سرود فتح می خوانم

#فریدون_مشیری

اینجا ==== افغانستان
962728217101777_969975563043709	My facebook different Posts 's Likes & Comment Visualization.
962728217101777_969912269716705	Hasibullah Sahibzada shared a link.
962728217101777_969595929748339	Hasibullah Sahibzada added a new photo.
962728217101777_968082846566314	Hasibullah Sahibzada shared a link.
962728217101777_966061760101756	Hasibullah Sahibzada shared a link.
962728217101777_965685470139385	Hasibullah Sahibzada shared AJ+'s video.
